,p.val,q.val,set.size
RAAGNYNNCTTY_UNKNOWN,0.000530338601993,0.121247833010575,117
MEF2_02,0.000532028950424,0.121247833010575,173
CUI_DEVELOPING_HEART_C8_MACROPHAGE,0.000536825146007,0.121447872812695,220
MODULE_44,0.000546570307726,0.122756522591727,259
MEBARKI_HCC_PROGENITOR_WNT_UP,0.000570586908888,0.126865551792955,159
PAX4_04,0.000573052114958,0.126865551792955,176
GO_MUSCLE_MYOSIN_COMPLEX,0.000580612936079,0.127627782559171,13
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP,0.000602439899433,0.131170010184878,125
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,0.000606378369497,0.131170010184878,268
HUMMERICH_BENIGN_SKIN_TUMOR_DN,0.000609423806757,0.131170010184878,17
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS,0.000622893180618,0.132618130081882,68
SRF_Q6,0.000624709524165,0.132618130081882,206
GO_ACTIN_CYTOSKELETON,0.000644949927825,0.135983524238123,439
GO_MUSCLE_CELL_DIFFERENTIATION,0.000710668635649,0.14784576703944,273
GO_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,0.000710751090175,0.14784576703944,163
GO_RECEPTOR_REGULATOR_ACTIVITY,0.000723304799292,0.14887061318121,261
GO_HEART_PROCESS,0.000725284332141,0.14887061318121,204
HU_FETAL_RETINA_MICROGLIA,0.000770309763233,0.157072242116153,311
REACTOME_COLLAGEN_DEGRADATION,0.000791488881485,0.158342431405588,51
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP,0.000794245983226,0.158342431405588,149
CUI_DEVELOPING_HEART_CORONARY_VASCULAR_ENDOTHELIAL_CELL,0.000796945908003,0.158342431405588,27
AIZARANI_LIVER_C3_NK_NKT_CELLS_2,0.000796974230473,0.158342431405588,123
FARMER_BREAST_CANCER_CLUSTER_1,0.000833991310928,0.16353684182517,22
CROONQUIST_STROMAL_STIMULATION_UP,0.000836473154819,0.16353684182517,49
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP,0.000838948114158,0.16353684182517,155
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN,0.000848860578382,0.164304885575787,142
CTTTGA_LEF1_Q2,0.000855114309121,0.164304885575787,944
YTATTTTNR_MEF2_02,0.000858791748831,0.164304885575787,543
GO_CELL_MOTILITY,0.000872960592163,0.165670477031354,1258
KRAS.KIDNEY_UP.V1_UP,0.00087661993396,0.165670477031354,95
CEBP_C,0.000924040196309,0.172602838524623,175
GO_MULTICELLULAR_ORGANISMAL_MOVEMENT,0.000928746960109,0.172602838524623,45
GO_CELL_ADHESION_MOLECULE_BINDING,0.000933638519063,0.172602838524623,476
REACTOME_COLLAGEN_FORMATION,0.000935577107574,0.172602838524623,74
MODULE_117,0.000962505577201,0.176520105679082,391
GO_CIRCULATORY_SYSTEM_PROCESS,0.000998055298832,0.181963093717577,382
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.001010080164418,0.183078506526064,53
HSIAO_HOUSEKEEPING_GENES,0.001030873630429,0.184020516967975,392
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,0.001031084820299,0.184020516967975,1332
PASINI_SUZ12_TARGETS_DN,0.001033089306073,0.184020516967975,301
GO_HUMORAL_IMMUNE_RESPONSE,0.001066655088494,0.188913758930252,119
GO_CELLULAR_COMPONENT_MORPHOGENESIS,0.001073957911007,0.189126428941709,646
HP_SUPRAVENTRICULAR_ARRHYTHMIA,0.00108518904877,0.189278627385645,75
GO_BASEMENT_MEMBRANE,0.001087036061,0.189278627385645,84
CTAWWWATA_RSRFC4_Q2,0.00114272818339,0.197864342547468,277
REACTOME_SIGNALING_BY_INTERLEUKINS,0.001162809351636,0.200222850247878,361
GO_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,0.001181027333536,0.202236249589026,49
GO_CELL_SUBSTRATE_ADHESION,0.001191433135493,0.202350571933362,297
GO_HEART_DEVELOPMENT,0.001201419433598,0.202350571933362,454
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,0.001206648839477,0.202350571933362,434
HELLER_SILENCED_BY_METHYLATION_UP,0.001207809763428,0.202350571933362,225
GO_NEUROGENESIS,0.001220629257537,0.203398834452125,1314
SRF_Q4,0.001249340150406,0.206531275227388,185
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS,0.001257614568374,0.206531275227388,85
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2,0.001262624744418,0.206531275227388,265
TGANTCA_AP1_C,0.001270108795013,0.206531275227388,899
GO_TUBE_DEVELOPMENT,0.001272745485205,0.206531275227388,835
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,0.001284903252014,0.207418184338096,292
GO_MYOFILAMENT,0.001300331623877,0.207877810765144,20
GO_CELL_CELL_ADHESION,0.001301164589548,0.207877810765144,653
MANNO_MIDBRAIN_NEUROTYPES_HPERIC,0.00131910930922,0.209172670467854,675
REACTOME_ECM_PROTEOGLYCANS,0.00132694592989,0.209172670467854,55
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,0.001329515908956,0.209172670467854,94
KEGG_VIRAL_MYOCARDITIS,0.00133627893514,0.20917489553393,57
GO_RESPONSE_TO_BACTERIUM,0.001354161080235,0.210908887039187,393
GO_SYNAPSE,0.001390423549021,0.215473734468173,1025
WINZEN_DEGRADED_VIA_KHSRP,0.001397374350781,0.215473734468173,84
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.001408496606909,0.216113583339276,58
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,0.001432337277965,0.21695447378789,76
GO_REGULATION_OF_CELL_ADHESION,0.001434838203695,0.21695447378789,553
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES,0.001434976676986,0.21695447378789,60
GO_COLLAGEN_METABOLIC_PROCESS,0.001453734223489,0.2187234879749,85
GO_CELL_CHEMOTAXIS,0.001474887741453,0.220834157771004,201
MODULE_330,0.001504038916084,0.224116260409242,20
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR,0.001522623160614,0.225799915024305,117
GO_REGULATION_OF_CELL_DIFFERENTIATION,0.001535075661057,0.226562547803749,1477
E47_01,0.001564626051796,0.228216977026494,206
MODULE_129,0.001564926967166,0.228216977026494,171
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP,0.001568375043771,0.228216977026494,59
FAN_EMBRYONIC_CTX_NSC_1,0.001596670886151,0.231248679651169,15
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.001632581443786,0.235135592446802,167
GO_SARCOPLASM,0.001649873849925,0.235135592446802,66
GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,0.001653173926502,0.235135592446802,243
chr12p13,0.001659545399011,0.235135592446802,164
GO_MUSCLE_ORGAN_MORPHOGENESIS,0.001661440754528,0.235135592446802,63
DANG_REGULATED_BY_MYC_DN,0.00167793158443,0.236139413223551,228
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN,0.001683771385507,0.236139413223551,158
AIZARANI_LIVER_C6_KUPFFER_CELLS_2,0.001718167990247,0.239877922025752,182
AIZARANI_LIVER_C20_LSECS_3,0.001742884526879,0.241984225542188,255
GO_CARDIAC_MUSCLE_CONTRACTION,0.001748869669015,0.241984225542188,100
WGGAATGY_TEF1_Q6,0.001760382620944,0.242494662015784,323
TAGCTTT_MIR9,0.001777443966169,0.243761496847089,212
MODULE_38,0.001820610402266,0.248291060530664,400
AACTTT_UNKNOWN,0.001826494218268,0.248291060530664,1517
GO_CELL_JUNCTION_ORGANIZATION,0.001864473397692,0.252286485386074,574
CAGCTG_AP4_Q5,0.001872165310666,0.252286485386074,1201
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,0.001883426379662,0.252374409866089,177
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.001889103151866,0.252374409866089,742
AIZARANI_LIVER_C9_LSECS_1,0.001897945013246,0.252467415195531,257
GO_TROPONIN_COMPLEX,0.001973872067968,0.26034309202283,7
HUMMERICH_SKIN_CANCER_PROGRESSION_DN,0.001973950655784,0.26034309202283,96
GO_STRIATED_MUSCLE_ADAPTATION,0.001987548358736,0.261025736570615,35
GO_ACTIN_BINDING,0.002020464288058,0.263001982211465,373
TATA_C,0.002028417123482,0.263001982211465,203
NABA_COLLAGENS,0.002045024124442,0.263001982211465,33
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,0.002045024124442,0.263001982211465,33
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.002045024124442,0.263001982211465,33
GO_NEURON_DIFFERENTIATION,0.002054022355435,0.263067640018022,1107
KEGG_ECM_RECEPTOR_INTERACTION,0.002067628501314,0.263720484649136,65
MODULE_128,0.002077494702438,0.263892913144922,74
GO_RESPONSE_TO_LIPID,0.002096028960899,0.264045970724382,666
LMO2COM_02,0.002102034784163,0.264045970724382,182
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS,0.002112277176961,0.264045970724382,250
MOSERLE_IFNA_RESPONSE,0.002112776690316,0.264045970724382,29
MEF2_Q6_01,0.002123286322582,0.264293720008449,190
GO_EPITHELIAL_CELL_PROLIFERATION,0.002146243667704,0.265710993068383,315
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.00215357445639,0.265710993068383,65
FOXD3_01,0.002160391374241,0.265710993068383,150
MODULE_79,0.002171391416841,0.266008322425141,76
CREL_01,0.00218315389905,0.266396346248639,211
HP_ABNORMALITY_OF_SKELETAL_MUSCLE_FIBER_SIZE,0.002242188055666,0.272526967048242,52
HUMMERICH_MALIGNANT_SKIN_TUMOR_DN,0.002269197954706,0.273322034377648,16
GO_CELLULAR_RESPONSE_TO_LIPID,0.002271384919552,0.273322034377648,435
GFI1_01,0.002275462747782,0.273322034377648,213
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.002284003578235,0.273322034377648,52
GO_TISSUE_MIGRATION,0.002334966086677,0.278345918809495,249
GO_MYOSIN_FILAMENT,0.002348700277111,0.278910407619822,17
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,0.002373944562403,0.280832205217958,126
GO_CARDIAC_VENTRICLE_MORPHOGENESIS,0.002398133912152,0.281753045581942,57
GO_TISSUE_MORPHOGENESIS,0.002399909790077,0.281753045581942,543
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN,0.002428865236439,0.28407641184222,151
HP_SPINAL_RIGIDITY,0.002445405882295,0.284935751563394,46
CDC5_01,0.002456627498067,0.285171208520917,200
MODULE_433,0.002468089405836,0.285432697927188,45
GO_MYOSIN_II_COMPLEX,0.002521225763563,0.290493945412157,18
KRAS.LUNG.BREAST_UP.V1_UP,0.002542572409304,0.291868478718441,79
NKX61_01,0.002554936295878,0.292205518651104,173
GO_STRIATED_MUSCLE_THIN_FILAMENT,0.002584072504344,0.294451261763404,17
TATTATA_MIR374,0.00260632458734,0.295898989963438,241
GO_STRUCTURAL_CONSTITUENT_OF_MUSCLE,0.002626481423022,0.296251209865823,33
MCLACHLAN_DENTAL_CARIES_UP,0.002628543676618,0.296251209865823,163
PID_SYNDECAN_1_PATHWAY,0.002684129142597,0.301419922629183,44
SABATES_COLORECTAL_ADENOMA_DN,0.002709457012897,0.303165742446703,161
GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_DN,0.002781265802693,0.310081123340516,177
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP,0.002823778828501,0.310493460074943,79
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.002826145613634,0.310493460074943,620
IIZUKA_LIVER_CANCER_EARLY_RECURRENCE,0.002826148950023,0.310493460074943,11
ATTACAT_MIR3803P,0.002831300899831,0.310493460074943,88
GO_CELL_JUNCTION_ASSEMBLY,0.002835053532981,0.310493460074943,346
PID_INTEGRIN1_PATHWAY,0.002865166957917,0.312686565822864,59
GO_CYTOKINE_ACTIVITY,0.00288233618622,0.313456588616475,105
CTTTGTA_MIR524,0.002920314432902,0.316476313053691,386
GO_LEUKOCYTE_CHEMOTAXIS,0.002943587710018,0.316669169705977,149
HFH4_01,0.002950676399682,0.316669169705977,150
MODULE_6,0.002952745371524,0.316669169705977,364
HOLLERN_EMT_BREAST_TUMOR_UP,0.00296423886523,0.316805584099797,120
GO_REGULATION_OF_IMMUNE_RESPONSE,0.002990788489197,0.318544668158641,628
ATF3_Q6,0.003002328289535,0.318678640430965,211
MODULE_33,0.003013537864178,0.318776766424298,302
GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,0.003055898131857,0.322158186050299,665
GO_OSSIFICATION,0.003111305081163,0.325959978737597,319
TGATTTRY_GFI1_01,0.003112994570121,0.325959978737597,208
HAN_JNK_SINGALING_UP,0.00313065471592,0.326140856751594,30
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.00313576741666,0.326140856751594,84
GO_SKELETAL_MUSCLE_ADAPTATION,0.003212804281776,0.332832782837377,18
IGLESIAS_E2F_TARGETS_UP,0.003236831633292,0.332832782837377,127
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN,0.003240668764481,0.332832782837377,27
DAZARD_RESPONSE_TO_UV_NHEK_UP,0.003243063186968,0.332832782837377,196
MODULE_170,0.003337053573691,0.341105357062457,77
LEI_MYB_TARGETS,0.003345680730044,0.341105357062457,311
GO_ANTIMICROBIAL_HUMORAL_RESPONSE,0.003390221477421,0.343101590091846,60
KRAS.600.LUNG.BREAST_UP.V1_UP,0.003397675589607,0.343101590091846,162
GO_PROTEIN_CONTAINING_COMPLEX_BINDING,0.003398470289675,0.343101590091846,1061
FAN_EMBRYONIC_CTX_BRAIN_MYELOID,0.00341996834209,0.344150970112795,114
HP_LIPOATROPHY,0.003473378852455,0.348394511821942,68
AIZARANI_LIVER_C13_LSECS_2,0.003489248097979,0.348857275963787,227
REACTOME_SMOOTH_MUSCLE_CONTRACTION,0.003536563611956,0.352450972954831,34
GU_PDEF_TARGETS_UP,0.003576478672999,0.35528647432994,68
GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,0.003602818519383,0.356759607635023,921
GO_POSITIVE_REGULATION_OF_CELL_ADHESION,0.003637299077449,0.359026903205254,324
GO_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,0.003706460638129,0.364692193708516,28
HP_LIPODYSTROPHY,0.003720222653125,0.364887914275165,95
HECKER_IFNB1_TARGETS,0.00375112650442,0.366758406555181,71
GO_CELL_ACTIVATION,0.003805591594213,0.370913540474964,1058
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP,0.003859537026726,0.37318859588401,125
REACTOME_MET_ACTIVATES_PTK2_SIGNALING,0.003863827736944,0.37318859588401,28
MODULE_99,0.003873505317572,0.37318859588401,222
HP_MUSCLE_FIBER_INCLUSION_BODIES,0.003886927897324,0.37318859588401,23
ZHONG_PFC_MAJOR_TYPES_MICROGLIA,0.003889137138496,0.37318859588401,351
GATA1_04,0.003906670661179,0.373714044668429,163
HP_TYPE_1_MUSCLE_FIBER_PREDOMINANCE,0.003957143347439,0.377377541263166,36
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.004038702972292,0.382137660369473,183
MODULE_324,0.004041111452878,0.382137660369473,103
DELASERNA_TARGETS_OF_MYOD_AND_SMARCA4,0.004044045705659,0.382137660369473,8
