,p.val,q.val,set.size
HSD17B8_TARGET_GENES,7.10574291639739E-06,0.009575451997862,565
GO_MITOCHONDRIAL_MATRIX,1.08981913480618E-05,0.013593020964063,451
E2F2_TARGET_GENES,1.09642357908487E-05,0.013593020964063,1356
GO_ENVELOPE,1.59252091061038E-05,0.018984074270561,1111
LEE_BMP2_TARGETS_DN,1.75873023215976E-05,0.020188920302059,873
PUJANA_BRCA2_PCC_NETWORK,1.95832627837608E-05,0.021677273097139,407
ZFHX3_TARGET_GENES,2.54355952524641E-05,0.027184511698444,1624
FEV_TARGET_GENES,3.22475169597051E-05,0.033315984688303,1518
GO_CHROMOSOMAL_REGION,3.61393217320821E-05,0.036053806326003,328
FAN_EMBRYONIC_CTX_NSC_2,3.78380827463555E-05,0.036053806326003,232
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,3.83872881447408E-05,0.036053806326003,140
E2F5_TARGET_GENES,4.36869273029332E-05,0.039824488965503,1081
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP,5.30394197790894E-05,0.046968679332374,636
SFMBT1_TARGET_GENES,5.49645543175184E-05,0.047321427681032,1500
DODD_NASOPHARYNGEAL_CARCINOMA_DN,6.06926184025041E-05,0.050840730128844,1332
SALL4_TARGET_GENES,6.3874207879942E-05,0.051148335155001,1639
GO_MICROTUBULE_CYTOSKELETON,6.67815868549189E-05,0.051148335155001,1143
GO_MICROTUBULE_ORGANIZING_CENTER,6.68267865623026E-05,0.051148335155001,720
CREB3L4_TARGET_GENES,6.76608937650845E-05,0.051148335155001,1295
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP,7.22203616029551E-05,0.052142358780727,519
TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C,7.2340499050502E-05,0.052142358780727,446
GO_CILIUM_ORGANIZATION,7.54571343182196E-05,0.053152691387702,351
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN,8.00572707769562E-05,0.054818824668692,197
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN,8.13598094715046E-05,0.054818824668692,755
SCGGAAGY_ELK1_02,8.87620313575556E-05,0.058533838295661,1211
BENPORATH_CYCLING_GENES,9.25522390705562E-05,0.059761752036517,623
ZSCAN30_TARGET_GENES,0.000101477150784,0.064187404314261,1546
ZNF350_TARGET_GENES,0.000104747883704,0.064686277140861,1326
GO_KINETOCHORE,0.00010643996045,0.064686277140861,133
GO_DNA_REPAIR,0.000109328796955,0.065164167939111,527
LIM_MAMMARY_STEM_CELL_DN,0.000114146285333,0.065837670598526,411
RBM34_TARGET_GENES,0.00011470717598,0.065837670598526,944
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,0.000120324287848,0.066977820873262,835
GO_MITOCHONDRIAL_GENE_EXPRESSION,0.000121015614922,0.066977820873262,165
FAN_EMBRYONIC_CTX_MICROGLIA_1,0.000125452440766,0.068215314896719,154
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP,0.000139699046839,0.074652280305726,194
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP,0.000152676069418,0.080204103314343,190
KAT2A_TARGET_GENES,0.000159485361847,0.082384821751564,1047
HOXB4_TARGET_GENES,0.000169245546363,0.085993384655326,1057
ZHONG_PFC_C1_MICROGLIA,0.000187224997602,0.092946531788813,251
FISCHER_G2_M_CELL_CYCLE,0.000188927905488,0.092946531788813,232
STEIN_ESRRA_TARGETS,0.000195911083748,0.09436227427999,511
MANALO_HYPOXIA_DN,0.000197894683752,0.09436227427999,288
GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP,0.000210744774934,0.098967023550144,199
MODULE_54,0.000220711654653,0.101224114031428,249
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR,0.000225317978144,0.101224114031428,98
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR,0.000225348901986,0.101224114031428,121
WP_CILIOPATHIES,0.000230934556253,0.101705600409925,172
ZSCAN31_TARGET_GENES,0.000235087403169,0.101705600409925,840
BARX1_TARGET_GENES,0.000236265187763,0.101705600409925,1177
GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION,0.000248038639088,0.105311090135612,118
SAFB2_TARGET_GENES,0.000252468256569,0.105743258703957,726
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR,0.000258780261944,0.106941805849312,83
FOXN3_TARGET_GENES,0.000263471878033,0.10744799194423,1241
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP,0.000272906970166,0.108388961000909,152
ZNF592_TARGET_GENES,0.000273320227691,0.108388961000909,1681
GO_MITOCHONDRIAL_ENVELOPE,0.000276270501357,0.108388961000909,710
DLX4_TARGET_GENES,0.000280828676453,0.108800049974882,796
HP_HYPERREFLEXIA,0.000289577193891,0.109947875183689,583
GO_ORGANELLE_INNER_MEMBRANE,0.000290886163937,0.109947875183689,504
HOXC6_TARGET_GENES,0.000295920457153,0.110503116253004,1092
WEI_MYCN_TARGETS_WITH_E_BOX,0.00031079070888,0.114674371797924,754
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2,0.000320336610243,0.116806034092635,397
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP,0.000340597594587,0.121605698934093,189
RPS14_DN.V1_DN,0.000341346576991,0.121605698934093,171
GO_TRNA_METABOLIC_PROCESS,0.000359719657939,0.126491377301945,185
GO_DNA_METABOLIC_PROCESS,0.000363222965086,0.126491377301945,842
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP,0.000381588978706,0.130169347677487,195
STEIN_ESRRA_TARGETS_UP,0.000384100545876,0.130169347677487,373
GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_DN,0.000386383815781,0.130169347677487,188
PUJANA_CHEK2_PCC_NETWORK,0.000404412330751,0.134692968916901,731
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,0.000409475437317,0.134692968916901,174
GO_CHROMOSOME_CENTROMERIC_REGION,0.00041284868191,0.134692968916901,188
GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP,0.000435910481282,0.138476177675917,189
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN,0.000437401947427,0.138476177675917,194
ALKBH3_TARGET_GENES,0.000437848145197,0.138476177675917,408
GLI3_TARGET_GENES,0.000451469457986,0.141341862432525,673
ZNF528_TARGET_GENES,0.000463960838232,0.143800022201734,644
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP,0.000499042463377,0.152789174054276,187
SKIL_TARGET_GENES,0.000502822990048,0.152789174054276,1708
MANNO_MIDBRAIN_NEUROTYPES_HPROGBP,0.000520288066949,0.155200933200856,258
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN,0.000520774893621,0.155200933200856,175
ZNF507_TARGET_GENES,0.000537058889031,0.158529554348877,581
GO_SPINDLE,0.000591577492515,0.172975026443427,347
REACTOME_CELL_CYCLE,0.000598714858779,0.173425872271053,658
GO_CELL_CYCLE,0.000610778422144,0.175282096443799,1644
WHITEFORD_PEDIATRIC_CANCER_MARKERS,0.000622213513125,0.17692555620003,113
CIITA_TARGET_GENES,0.000653416944374,0.183279307864726,1134
MIR616_5P,0.000661454629673,0.183279307864726,835
MIR373_5P,0.000666162276002,0.183279307864726,830
BIDUS_METASTASIS_UP,0.000668211969695,0.183279307864726,212
HORIUCHI_WTAP_TARGETS_DN,0.000680611221071,0.185042668297033,303
GSE27786_LIN_NEG_VS_NKTCELL_UP,0.000713278061023,0.190877674993642,181
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN,0.000726332842643,0.190877674993642,178
GSE14000_UNSTIM_VS_4H_LPS_DC_UP,0.000728823858213,0.190877674993642,192
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,0.000729481730174,0.190877674993642,437
MIR371B_5P,0.000732865823199,0.190877674993642,834
HOXB6_TARGET_GENES,0.000757346342376,0.19456733978282,593
GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP,0.000759587278626,0.19456733978282,193
GO_NCRNA_PROCESSING,0.00076909798988,0.194912947924773,393
MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN,0.000773961781061,0.194912947924773,56
GO_NCRNA_METABOLIC_PROCESS,0.000785657436643,0.194912947924773,476
SHEN_SMARCA2_TARGETS_UP,0.000786091452881,0.194912947924773,426
GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP,0.00079345882133,0.195178275462806,188
MITSIADES_RESPONSE_TO_APLIDIN_DN,0.00081701832699,0.196221239128565,244
GSE2197_CPG_DNA_VS_UNTREATED_IN_DC_DN,0.00081738767114,0.196221239128565,182
ID1_TARGET_GENES,0.000819439381532,0.196221239128565,1108
GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA,0.00082302255555,0.196221239128565,366
GO_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS,0.000862898897932,0.204157927041985,517
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN,0.000874921926914,0.20443996737806,977
GO_GOLGI_VESICLE_TRANSPORT,0.000877283205178,0.20443996737806,358
NFE2L1_TARGET_GENES,0.000895085285806,0.207031890658765,1683
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_UP,0.000922423872034,0.211774855480173,190
ZNF30_TARGET_GENES,0.000957494403105,0.218210158307521,1343
TIEN_INTESTINE_PROBIOTICS_24HR_UP,0.000995375355815,0.224194078166888,557
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS,0.000998218454766,0.224194078166888,100
FOXD2_TARGET_GENES,0.001020318317571,0.227508963559729,1143
GSE7852_LN_VS_THYMUS_TCONV_DN,0.00104266169198,0.229474300523577,189
GO_DNA_DEPENDENT_DNA_REPLICATION,0.001043940000446,0.229474300523577,145
GLI4_TARGET_GENES,0.001062309994312,0.230745792802285,769
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP,0.001074240579103,0.230745792802285,197
GO_DNA_REPLICATION,0.001076076830621,0.230745792802285,262
GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP,0.001082170522811,0.230745792802285,196
GCM_NF2,0.001086948627126,0.230745792802285,296
GO_CHROMOSOME_SEGREGATION,0.001096306991656,0.230750976043377,298
GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.001101863084933,0.230750976043377,813
GNF2_PCNA,0.001114731266258,0.23120128842317,67
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP,0.001118932479302,0.23120128842317,187
ATF6_TARGET_GENES,0.001130664695428,0.232078288543738,984
ACEVEDO_LIVER_CANCER_UP,0.001141089055594,0.232677067033442,930
GO_CENTROSOME,0.001153729547008,0.232895790815516,547
FEVR_CTNNB1_TARGETS_DN,0.001157190158921,0.232895790815516,528
GO_CELLULAR_LIPID_METABOLIC_PROCESS,0.001191849294895,0.235628709281526,882
GO_ORGANOPHOSPHATE_METABOLIC_PROCESS,0.00119297432328,0.235628709281526,912
GO_ORGANIC_ACID_CATABOLIC_PROCESS,0.001194811298154,0.235628709281526,239
BANP_TARGET_GENES,0.00120235535674,0.235628709281526,696
GO_CONDENSED_CHROMOSOME,0.001208781208484,0.235628709281526,200
FUJII_YBX1_TARGETS_DN,0.001250598620567,0.242256585286511,193
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN,0.001262908719697,0.243121694771975,1727
KIM_WT1_TARGETS_DN,0.001290393531377,0.246248974372565,456
GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP,0.001309821782859,0.246248974372565,192
RCGCANGCGY_NRF1_Q6,0.001311220306285,0.246248974372565,911
GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_DN,0.001314250274717,0.246248974372565,191
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP,0.001318878807054,0.246248974372565,199
GO_TRNA_PROCESSING,0.001334368663076,0.247649235589092,129
GO_MITOCHONDRIAL_TRANSLATION,0.001372681787829,0.253243448404545,135
GSE42021_TREG_VS_TCONV_PLN_DN,0.001430816290369,0.262406627832524,191
GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,0.001471785631635,0.267254172112652,192
GO_MICROTUBULE_BASED_PROCESS,0.001474493883696,0.267254172112652,751
GNF2_CCNB2,0.001485818197696,0.267740983833584,56
GSE2706_UNSTIM_VS_2H_LPS_DC_UP,0.00149512089866,0.267859983428189,171
GO_SPINDLE_ORGANIZATION,0.001654885720037,0.294778896590931,178
GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,0.001665294627771,0.294937952532216,192
GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_UP,0.001684870093642,0.296379738884303,195
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP,0.001692560294977,0.296379738884303,328
PDCD6_AHRR_TARGET_GENES,0.001715867257536,0.298035411421467,1208
GO_SPINDLE_POLE,0.001726179818805,0.298035411421467,159
BLUM_RESPONSE_TO_SALIRASIB_DN,0.001753214985435,0.298035411421467,330
TEAD2_TARGET_GENES,0.001760287356,0.298035411421467,1363
GO_OXIDATION_REDUCTION_PROCESS,0.001761763259247,0.298035411421467,861
PUJANA_BRCA1_PCC_NETWORK,0.00176772152637,0.298035411421467,1483
GO_INTRACELLULAR_TRANSPORT,0.001769326827823,0.298035411421467,1637
NKX2_2_TARGET_GENES,0.001798033365509,0.301233762868064,1207
GO_OXIDOREDUCTASE_ACTIVITY,0.00182492552516,0.302623979059235,621
ZHONG_PFC_C3_UNKNOWN_INP,0.001835257748473,0.302623979059235,33
GO_CELL_DIVISION,0.001835623283963,0.302623979059235,542
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP,0.001864207912153,0.305710370525189,197
WINNEPENNINCKX_MELANOMA_METASTASIS_UP,0.001956327534974,0.319128503257824,159
GNF2_CDC20,0.001974751173266,0.320447318660708,55
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN,0.002017189750957,0.325629058026887,197
GO_CILIUM,0.002031606132934,0.326256997327156,487
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_UP,0.002045657911826,0.326820212985248,196
GSE14415_INDUCED_TREG_VS_TCONV_UP,0.002094543439983,0.332914253224844,170
GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_UP,0.00213025381998,0.333291313085383,195
REACTOME_MITOTIC_PROMETAPHASE,0.002140002065491,0.333291313085383,196
GNF2_CENPF,0.002142070589673,0.333291313085383,61
KAUFFMANN_MELANOMA_RELAPSE_UP,0.002144900610991,0.333291313085383,60
GSE14769_20MIN_VS_360MIN_LPS_BMDM_UP,0.002150682797221,0.333291313085383,188
ARID5B_TARGET_GENES,0.002173111751201,0.333826457011924,823
GSE21063_3H_VS_16H_ANTI_IGM_STIM_BCELL_DN,0.002175677367117,0.333826457011924,189
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP,0.002202274987268,0.336242911110267,158
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,0.002226564724466,0.337735335153433,446
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP,0.002233843444101,0.337735335153433,168
REACTOME_DNA_REPAIR,0.002265232495936,0.340818524170067,317
HES4_TARGET_GENES,0.002299056525519,0.344236511845128,562
HP_ABNORMALITY_OF_THE_OPTIC_DISC,0.002317115083504,0.345272427394747,547
GO_TRNA_BINDING,0.002331567475848,0.345763647590613,66
GO_CELL_CYCLE_PROCESS,0.002346378423938,0.346303108912037,1231
ZNF667_TARGET_GENES,0.002394990104344,0.351802480066519,133
HALLMARK_E2F_TARGETS,0.002408484612527,0.352115906040901,200
GNF2_CCNA2,0.002436986948913,0.354610204200019,67
GO_DOUBLE_STRAND_BREAK_REPAIR,0.00247328812936,0.358210711595299,241
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN,0.002566673825046,0.370006923411527,880
REACTOME_METABOLISM_OF_LIPIDS,0.00263835058979,0.377213952717838,630
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA,0.002641008832025,0.377213952717838,123
GO_NUCLEAR_CHROMOSOME_SEGREGATION,0.002657667781767,0.37785208820227,239
CASP8AP2_TARGET_GENES,0.002671873042051,0.378137137284641,305
GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,0.002694903706829,0.379662934042974,102
HOXA10_TARGET_GENES,0.002712892377775,0.380467811569046,255
GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_DN,0.002726582343708,0.380665284508461,188
GSE14415_NATURAL_TREG_VS_TCONV_DN,0.002782620541932,0.385687875152659,162
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN,0.002787445442156,0.385687875152659,195
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION,0.002804594079092,0.38633595061051,156
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN,0.002846203479194,0.389790563256793,194
GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_UP,0.002859716982883,0.389790563256793,192
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN,0.002867401704283,0.389790563256793,191
REACTOME_CELL_CYCLE_MITOTIC,0.002895193430484,0.391849891635027,536
GSE3920_UNTREATED_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN,0.002962212480578,0.397326767908064,181
NKX2_3_TARGET_GENES,0.002965538690688,0.397326767908064,480
KOBAYASHI_EGFR_SIGNALING_24HR_DN,0.002974117898776,0.397326767908064,248
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_48H_CD4_TCELL_DN,0.002991735981968,0.397965085944769,196
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN,0.00300890728185,0.398538770485754,626
GO_MITOTIC_CELL_CYCLE,0.003061019031408,0.403715846210458,944
MORI_IMMATURE_B_LYMPHOCYTE_DN,0.003088837798226,0.404751497807764,87
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP,0.003094989513468,0.404751497807764,193
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,0.00316029018442,0.410117936340031,149
GNF2_HMMR,0.003162489087735,0.410117936340031,47
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN,0.003188678077493,0.411791201390965,195
GNF2_RRM1,0.003205059032024,0.41197433068266,87
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP,0.003224111768832,0.41197433068266,196
KAT5_TARGET_GENES,0.003243066550132,0.41197433068266,828
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA5_STIM_CD8_TCELL_DN,0.003243264395901,0.41197433068266,184
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP,0.003301934775347,0.415820290489654,179
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN,0.003302623925398,0.415820290489654,191
GSE22103_UNSTIM_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP,0.003313790144897,0.415820290489654,190
GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_DN,0.003355750939117,0.418344011892492,191
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN,0.003360897559567,0.418344011892492,196
GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN,0.003381833048105,0.419266133971893,167
ARNT2_TARGET_GENES,0.003414932743646,0.421522074577053,631
LEE_EARLY_T_LYMPHOCYTE_UP,0.003427229876538,0.421522074577053,98
GO_LIPID_METABOLIC_PROCESS,0.003471373287215,0.425263808948415,1144
ZHANG_BREAST_CANCER_PROGENITORS_UP,0.003501079614426,0.426462767232969,423
GCM_GSPT1,0.003510911887938,0.426462767232969,167
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_UP,0.003532194592131,0.426462767232969,186
GSE17721_CTRL_VS_LPS_8H_BMDC_UP,0.00353619833448,0.426462767232969,183
GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP,0.00363814046619,0.436619773725987,198
GSE7460_CD8_TCELL_VS_TREG_ACT_DN,0.003653217312104,0.436619773725987,191
CAIRO_HEPATOBLASTOMA_CLASSES_UP,0.003667208346992,0.436619773725987,603
HMG20B_TARGET_GENES,0.003695652333081,0.436619773725987,1620
GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP,0.003728235692935,0.436619773725987,191
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN,0.003740056527815,0.436619773725987,198
HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS,0.003753623453787,0.436619773725987,940
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP,0.003756938452748,0.436619773725987,191
GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_DN,0.00376678343131,0.436619773725987,189
GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_DN,0.003774372095756,0.436619773725987,189
GSE18893_CTRL_VS_TNF_TREATED_TCONV_2H_DN,0.003775379084938,0.436619773725987,199
GSE7852_LN_VS_FAT_TREG_UP,0.003813009239973,0.438010640074125,188
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR,0.003828936092753,0.438010640074125,404
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN,0.003835957288128,0.438010640074125,187
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP,0.003850413762017,0.438010640074125,176
IRF5_TARGET_GENES,0.003858066230246,0.438010640074125,737
GO_ORGANELLE_FISSION,0.003873498611015,0.438157722444549,401
GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,0.003948916039375,0.442829242670335,277
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN,0.00395511155024,0.442829242670335,179
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_8H_DN,0.003957659554097,0.442829242670335,191
GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_DN,0.00404716014281,0.450283627268813,190
GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN,0.004053337162289,0.450283627268813,178
GO_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,0.00408220257719,0.451870666705047,46
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP,0.004122285390961,0.454683677606563,195
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR,0.0041429410703,0.455341544442785,446
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_DN,0.00417577943751,0.457329003131437,188
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_DN,0.004207819924151,0.459215389891357,187
GSE4984_UNTREATED_VS_LPS_TREATED_DC_DN,0.004262764928721,0.459626834985636,156
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS,0.00427055885495,0.459626834985636,207
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_16H_UP,0.004272158949036,0.459626834985636,183
WHITFIELD_CELL_CYCLE_G1_S,0.004278525739956,0.459626834985636,132
GNF2_MCM4,0.004297050453925,0.459626834985636,53
GO_TRNA_MODIFICATION,0.00430056727579,0.459626834985636,88
GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN,0.004349983963467,0.462930846745082,191
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN,0.004361354044317,0.462930846745082,192
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP,0.004400294348465,0.465470044492597,175
GO_RNA_MODIFICATION,0.004567717495937,0.478540778093869,159
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_UP,0.004569507852816,0.478540778093869,191
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM,0.004570177141246,0.478540778093869,303
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN,0.004620881744764,0.480138694282251,189
GO_SMALL_MOLECULE_CATABOLIC_PROCESS,0.004630929057779,0.480138694282251,381
GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_DN,0.004631911647106,0.480138694282251,174
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN,0.004663232315777,0.481079510825299,83
GO_RECOMBINATIONAL_REPAIR,0.004689695746029,0.481079510825299,130
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP,0.0047222609724,0.481079510825299,191
PATIL_LIVER_CANCER,0.004724014568369,0.481079510825299,638
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP,0.004726766590925,0.481079510825299,196
GSE17721_CTRL_VS_CPG_12H_BMDC_UP,0.004734117919653,0.481079510825299,188
